country,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub
Eritrea,0.0,0.0,0.0
Estonia,0.0,0.0,0.0
Ethiopia,0.0,0.0,0.0
Iceland,0.0,0.0,0.0
Falkland Is.,0.0,0.0,0.0
Honduras,0.0,0.0,0.0
Guyana,0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,0.0
Greenland,0.0,0.0,0.0
Fiji,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0
Malawi,0.0,0.0,0.0
Congo,0.0,0.0,0.0
Chad,0.0,0.0,0.0
Philippines,0.0,0.0,100.0
Paraguay,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,0.0
Panama,0.0,0.0,0.0
Colombia,0.0,0.0,0.0
Oman,0.0,0.0,100.0
French Guiana,0.0,0.0,0.0
Niger,0.0,0.0,0.0
Mali,0.0,0.0,0.0
Nicaragua,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0
Namibia,0.0,0.0,0.0
Mozambique,0.0,0.0,0.0
Cyprus,0.0,0.0,100.0
Mauritania,0.0,0.0,0.0
Zimbabwe,0.0,0.0,0.0
